gvkey,conm,latest_observed_date,risk_window,pred_risk_next_12m
185569,OCONEE FEDERAL FINANCIAL CP,2025-06-30,Apr 2026 → Apr 2027 (approx),0.0029501193
023464,OPTIMIZERX CORP,2025-12-31,Apr 2026 → Apr 2027 (approx),0.0029497326
037023,GOODRX HLDGS INC,2025-12-31,Apr 2026 → Apr 2027 (approx),0.0029458434
038135,PLANET LABS PBC,2026-01-31,Apr 2026 → Apr 2027 (approx),0.0029425484
105394,PAYSIGN INC,2025-12-31,Apr 2026 → Apr 2027 (approx),0.0029415903
111974,TOWNSQUARE MEDIA INC,2025-12-31,Apr 2026 → Apr 2027 (approx),0.0029398173
032546,SEA LIMITED,2025-12-31,Apr 2026 → Apr 2027 (approx),0.0029291527
012615,M/I HOMES INC,2025-12-31,Apr 2026 → Apr 2027 (approx),0.0029240919
007585,MOTOROLA SOLUTIONS INC,2025-12-31,Apr 2026 → Apr 2027 (approx),0.002922573
002999,CHICAGO RIVET & MACHINE CO,2025-12-31,Apr 2026 → Apr 2027 (approx),0.00292156
062266,CSG SYSTEMS INTL INC,2025-12-31,Apr 2026 → Apr 2027 (approx),0.002915068
037392,EOS ENERGY ENTERPRISES INC,2025-12-31,Apr 2026 → Apr 2027 (approx),0.0029117118
184254,APOLLO GLOBAL MGMT INC,2025-12-31,Apr 2026 → Apr 2027 (approx),0.002907321
184996,TESLA INC,2025-12-31,Apr 2026 → Apr 2027 (approx),0.002906366
018564,APPLIED OPTOELECTRONICS INC,2025-12-31,Apr 2026 → Apr 2027 (approx),0.0029059087
051314,NEWSMAX INC,2025-12-31,Apr 2026 → Apr 2027 (approx),0.0029034354
061766,ASTROTECH CORP,2025-06-30,Apr 2026 → Apr 2027 (approx),0.0028990873
036301,ZENTALIS PHARMACEUTICALS INC,2025-12-31,Apr 2026 → Apr 2027 (approx),0.0028986684
023432,VIRTU FINANCIAL INC,2025-12-31,Apr 2026 → Apr 2027 (approx),0.002894827
013683,TELEFONICA SA,2025-12-31,Apr 2026 → Apr 2027 (approx),0.002892246
188255,FORTUNE BRANDS INNOVATNS INC,2025-12-31,Apr 2026 → Apr 2027 (approx),0.00288907
014401,INVESTORS TITLE CO,2025-12-31,Apr 2026 → Apr 2027 (approx),0.0028880236
